SiO2,TiO2,Al2O3,Cr2O3,Fetot,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,Fe3+/Fetot
51.75,0.55,6.71,0.75,2.54,0.09,14.79,20.31,2.01,,,,,,0.284
52.26,0.57,6.67,0.71,2.58,0.08,14.33,20.9,1.7,,,,,,0.3
52.22,0.51,6.25,0.88,2.24,0.05,14.5,20.3,1.95,,,,,,0.274
52.6,0.51,6.12,0.77,3.18,0.09,15.29,20.12,1.56,,,,,,0.213
52.07,0.55,6.4,0.68,3.23,0.08,15.18,19.79,1.63,,,,,,0.174
53.56,0.3,5.79,0.98,2.88,0.11,16.09,19.74,1.65,,,,,,0.311
51.53,0.33,7.14,0.68,3.44,0.11,15.34,18.77,1.84,,,,,,0.283
51.84,0.61,6.87,0.7,3.28,0.11,14.76,20.59,1.5,,,,,,0.246
52.86,0.14,4.41,0.7,2.95,0.09,16.05,21.84,1,,,,,,0.254
51.87,0.52,6.28,0.94,3,0.09,15.58,21.04,1.48,,,,,,0.281
52.55,0.39,5.11,0.95,2.98,0.11,15.16,21.1,1.5,,,,,,0.247
52.98,0.66,6.79,0.73,2.68,0.1,15.1,20.44,1.78,,,,,,0.245
52.09,0.46,6.08,0.81,3,0.06,15.05,19.73,1.73,,,,,,0.286
53.03,0.54,6.82,0.77,3.04,0.12,15.7,19.49,1.81,,,,,,0.291
51.22,0.47,6.35,0.7,3.09,0.08,15,20.29,1.43,,,,,,0.312
52,0.61,6.58,0.71,2.95,0.09,14.92,20.29,1.81,,,,,,0.257
52.03,0.68,6.77,0.63,2.55,0.08,14.05,20.52,1.98,,,,,,0.203
52.27,0.58,6.67,0.82,2.77,0.06,14.87,20.14,1.81,,,,,,0.171
52.33,0.51,5.76,1.11,2.7,0.09,15.21,20.37,1.58,,,,,,0.203
52.91,0.25,5.66,1.19,2.04,0.05,14.67,22.01,1.57,,,,,,0.241
52.59,0.12,3.8,1,2.19,0.07,16.15,22.82,0.72,,,,,,0.197
52.54,0.33,5.38,1.27,3.14,0.08,14.91,20.02,1.87,,,,,,0.329
52.27,0.51,5.97,0.98,2.86,0.1,15.68,19.76,1.65,,,,,,0.268
52.49,0.56,6.7,0.88,2.61,0.1,14.77,19.8,1.81,,,,,,0.185
